household_ID,floor_area,no_of_household_members,total_monthly_expenditure_of_last_month,CFL,Flashlight,Flood light,Halogen,Incandescent,LED,Other,Tube Light (LED),Tube Light (conventional),total_fan_power,total_ac_power,ac_room_not_fully_sealed,total_hours_members_stayed_home,total_hours_appliances_used,num_rooms,total_power_consumption
ID0001,1500.0,4,35000.0,30.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,,,556.0,98.0,10,35654.0
ID0002,440.0,3,40000.0,76764.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,216.0,,,336.0,168.0,10,40720.0
ID0003,2500.0,4,250000.0,0.0,0.0,0.0,0.0,0.0,5010.0,0.0,0.0,0.0,68.0,,,468.0,226.51,10,250762.51
ID0004,2600.0,4,100000.0,64.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,8.0,,,456.0,218.0,12,100682.0
ID0005,480.0,2,60000.0,0.0,0.0,0.0,0.0,0.0,2597.5,0.0,0.0,0.0,133.0,,,252.0,391.5,5,60776.5
ID0006,440.0,6,100000.0,0.0,0.0,0.0,0.0,0.0,1753.75,0.0,0.0,0.0,311.0,,,623.5,243.15,6,101177.65
ID0007,480.0,4,60000.0,0.0,0.0,0.0,0.0,0.0,1070.0,0.0,0.0,0.0,56.0,,,454.0,170.83,10,60680.83
ID0008,1400.0,5,150000.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,450.0,215.75,6,150665.75
ID0009,350.0,2,15000.0,0.0,0.0,0.0,0.0,0.0,4788.5,0.0,0.0,0.0,,,,142.0,35.33,10,15177.33
ID0010,1000.0,7,50000.0,0.0,0.0,0.0,0.0,0.0,1704.0,0.0,0.0,0.0,10.0,,,674.0,221.25,10,50905.25
ID0011,500.0,5,50000.0,16065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,,,85.0,168.58,10,50351.58
ID0012,2900.0,7,200000.0,0.0,0.0,0.0,0.0,0.0,9275.0,0.0,0.0,0.0,189.0,67500.0,0.0,840.0,489.97,14,269018.97
ID0013,2100.0,1,60000.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,8.0,,,168.0,185.0,10,60361.0
ID0014,1000.0,4,50000.0,0.0,0.0,0.0,0.0,0.0,2858.0,0.0,0.0,0.0,146.0,0.0,0.0,498.0,201.25,10,50845.25
ID0015,440.0,3,60000.0,800.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,107.0,,,292.0,213.48,6,60612.48
ID0016,1000.0,5,85000.0,2470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,,,674.0,185.5,10,85952.5
ID0017,800.0,4,35000.0,0.0,0.0,0.0,0.0,4320.0,0.0,0.0,0.0,0.0,,,,528.0,77.0,5,35605.0
ID0018,4000.0,7,200000.0,6520.0,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,0.0,189.0,112000.0,0.0,806.0,202.82,20,313197.82
ID0019,400.0,5,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,,,562.0,176.75,15,80787.75
ID0020,3000.0,3,30000.0,168.0,0.0,0.0,0.0,0.0,152.75,0.0,0.0,0.0,116.0,,,416.0,178.0,11,30710.0
ID0021,3600.0,4,50000.0,0.0,0.0,0.0,0.0,0.0,3436.0,0.0,0.0,0.0,183.5,,,620.0,58.45,12,50861.95
ID0022,150.0,4,80000.0,0.0,0.0,0.0,0.0,0.0,384.7,0.0,0.0,0.0,14.0,,,502.0,213.8,11,80729.8
ID0023,1400.0,2,20000.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,300.0,33.5,6,20340.5
ID0024,2300.0,2,75000.0,536.5,0.0,0.0,0.0,0.0,187.5,0.0,0.0,0.0,102.5,,,328.0,198.0,10,75628.5
